ID,QQ,PartVQ,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I1_8,I1_9,I1_10,I1_11,I1_12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,LA_1,LA_2,LA_3,LA_4,LA_5,LA_6,LA_7,LA_8,LA_9,LA_10,LA_11,LA_12,LA_13,LA_14,LB_1,LB_2,LB_3,LB_4,LB_5,LB_6,LB_7,LB_8,LB_9,LB_10,LB_11,LB_12,LC_1,LC_2,LC_3,PartVA_5_T,PartVB_5_T,PartVC_5_T,PartVD_5_T
3871654,3,0,5,7,3,5,3,6,6,6,6,6,4,5,2,4,25,1,5,3,1,5,1,3,5,4,4,4,2,4,5,4,3,2,3,4,2,2,4,4,4,4,3,4,5,4,4,2,2,3,2,1,1,2,1,1,1
3891163,1,0,6,7,2,6,4,5,2,6,7,7,4,6,2,2,26,2,20,1,1,5,1,3,5,5,5,5,2,5,5,4,2,1,5,3,1,1,5,5,5,5,2,5,5,4,2,1,2,2,1,1,1,1,1,0,0
3891203,2,1,7,4,5,7,5,7,5,4,4,7,5,7,1,1,29,1,13,1,1,3,1,3,5,5,5,5,2,5,5,5,3,1,5,3,1,2,4,5,5,4,3,4,5,5,2,1,3,2,1,1,1,3,2,1,2
3891310,3,1,7,6,3,6,4,6,7,5,6,4,3,6,2,5,31,2,35,4,1,3,1,5,5,5,5,5,1,5,5,5,2,1,5,1,1,2,5,4,5,5,3,5,5,5,4,1,4,2,1,1,1,3,3,2,2
3891321,4,0,6,7,5,6,3,5,8,5,6,4,8,6,2,4,42,2,37,1,1,5,1,4,2,2,1,1,4,1,2,3,5,5,3,3,5,5,1,1,1,1,2,1,1,1,5,5,4,5,2,2,2,1,1,1,1
3891357,2,0,5,2,8,4,5,4,7,5,6,4,7,5,2,1,32,1,30,1,1,5,1,2,5,5,5,5,1,4,5,4,2,1,5,3,1,1,5,5,5,5,2,5,5,5,1,1,2,1,2,1,1,2,1,1,0
3891375,1,1,6,7,5,6,3,6,8,5,5,4,8,6,2,1,32,2,30,1,1,6,1,5,4,4,4,4,2,4,5,4,5,1,4,4,2,2,4,4,4,4,2,4,5,4,5,2,2,3,1,1,2,3,3,2,3
3891376,1,1,7,7,2,7,4,6,5,7,7,7,2,7,2,5,23,2,35,1,2,4,1,3,5,5,5,5,1,5,5,5,1,1,5,3,1,1,5,5,5,5,2,4,5,5,4,1,2,1,2,1,1,1,1,1,2
3891399,4,1,6,6,4,6,3,7,8,6,7,6,5,6,2,5,34,2,9,1,1,6,1,3,5,5,5,4,1,4,5,4,2,2,5,3,2,1,5,5,5,4,2,5,5,4,2,1,4,2,1,1,1,2,1,2,1
3891418,2,1,4,3,8,7,8,1,6,3,2,1,8,2,2,2,30,3,46,1,2,2,1,2,5,5,5,5,2,5,5,5,4,2,5,2,2,2,5,5,5,5,2,5,5,5,2,2,2,2,1,1,1,3,2,0,1
3891450,3,0,7,7,5,7,6,7,7,6,7,5,7,5,2,2,27,1,6,1,1,5,1,5,4,3,3,3,5,3,3,4,5,4,3,4,3,2,3,3,3,3,3,3,3,2,5,3,4,3,2,2,2,1,2,1,1
3891453,1,0,7,7,1,8,2,7,8,7,7,7,3,7,2,1,47,1,42,1,2,3,1,6,5,5,5,4,3,5,4,4,2,1,4,4,1,1,5,5,5,4,2,5,4,4,2,1,4,2,2,1,1,1,1,1,2
3891966,4,0,8,7,4,8,4,8,6,8,6,6,7,7,2,1,54,2,5,1,1,6,1,3,3,2,3,3,5,1,3,3,5,2,4,3,3,3,2,1,3,2,3,1,1,3,5,4,5,5,1,2,2,1,0,1,1
3891988,3,1,8,8,4,8,7,8,8,8,8,8,8,8,2,4,20,2,23,3,1,4,6,10,5,5,5,5,2,5,5,5,2,1,5,2,1,1,5,5,5,5,2,5,5,5,1,1,5,1,1,1,1,1,3,2,1
3892002,2,0,5,8,4,8,5,8,4,7,4,8,6,5,1,1,25,1,5,1,1,6,5,5,5,4,5,5,1,5,5,4,2,1,4,2,2,1,5,5,5,4,4,4,5,4,2,1,2,1,1,1,1,0,0,2,1
3892008,1,0,5,6,5,6,3,6,7,5,6,6,8,6,2,5,22,2,30,1,1,5,1,8,5,5,5,4,1,5,5,5,2,1,4,2,1,1,5,5,5,5,1,5,5,5,5,1,2,1,1,1,1,1,1,1,2
3892010,3,0,6,7,4,5,3,8,8,5,6,6,8,6,2,4,25,2,43,1,1,3,1,5,4,4,4,4,3,3,4,4,4,2,4,4,2,2,4,3,4,3,3,3,3,3,3,2,3,3,1,1,2,1,2,1,0
3892019,4,1,6,7,3,6,3,6,7,6,6,5,6,5,2,2,37,2,17,1,2,4,1,6,1,3,2,2,5,1,3,5,5,4,3,4,4,5,2,3,1,2,3,1,3,3,5,3,5,5,2,2,2,2,0,1,1
3892020,2,0,7,7,2,4,1,5,5,5,6,6,3,5,2,2,50,2,42,1,2,3,1,3,5,5,5,5,1,5,5,5,4,1,5,3,1,1,5,5,5,5,4,5,5,5,4,1,4,2,1,1,1,1,1,1,1
3892021,2,1,7,6,3,7,2,7,2,7,8,7,2,7,2,2,33,1,22,1,1,5,1,7,5,5,5,5,1,4,5,5,1,1,5,4,2,1,5,5,5,5,1,5,5,4,1,1,1,1,1,1,1,3,4,4,4
3892026,4,0,5,3,6,4,5,4,6,6,5,5,5,5,2,1,38,1,14,1,1,3,1,2,5,4,5,2,5,4,5,4,2,1,4,4,2,2,2,2,2,2,4,1,4,4,5,4,5,5,2,2,2,3,1,1,1
3892027,3,1,7,5,7,5,1,5,2,5,5,3,8,3,2,1,57,2,9,1,2,4,1,2,5,4,5,4,2,4,4,4,2,1,3,4,2,2,5,4,4,4,2,4,4,4,2,1,2,2,1,1,1,2,0,1,0
3892030,1,1,5,5,7,6,2,5,5,6,7,5,7,6,2,1,33,2,43,1,1,5,1,3,5,5,5,5,1,4,5,4,2,1,4,1,2,1,4,4,5,4,2,4,4,4,2,1,3,2,1,1,1,2,3,2,2
3892031,3,1,7,7,7,6,4,7,5,7,7,3,5,6,2,3,32,2,25,4,1,5,6,2,5,5,5,5,1,5,5,3,2,1,5,1,1,1,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,2,1,1,0
3892035,1,1,7,6,4,7,6,7,6,5,6,6,6,6,2,1,39,2,43,1,1,6,1,7,5,5,5,5,2,5,5,4,1,1,5,2,1,1,5,5,5,5,2,5,5,4,1,1,1,1,1,1,1,3,2,2,4
3892037,2,0,6,7,5,5,6,6,6,5,6,7,7,7,2,2,32,1,32,2,1,6,6,2,5,5,5,4,2,5,5,4,2,2,4,3,1,1,5,5,5,4,3,5,5,4,2,1,2,2,2,1,1,2,3,3,2
3892041,4,1,6,4,7,6,6,5,8,5,7,4,7,3,2,1,45,2,33,2,2,5,1,7,4,5,5,4,1,4,5,4,2,2,5,3,2,1,4,5,5,4,2,4,4,4,2,1,2,2,1,1,1,2,1,1,1
